phrase	frequency_per_million	word_count	register
i don't think	2345.3	3	informal
you know what	2156.2	3	informal
i think we	1876.4	3	informal
i think it	1765.3	3	informal
the thing is	1654.2	3	informal
to be honest	1543.1	3	informal
i mean i	1432.2	3	informal
what you want	1321.3	3	informal
i see what	1210.4	3	informal
i get that	1098.3	3	informal
let me tell	987.4	3	informal
i want to	876.3	3	informal
it's like a	765.2	3	informal
sort of kind	745.1	3	informal
it's not that	723.4	3	informal
i understand what	678.3	3	neutral
what about you	645.2	3	informal
do you think	612.4	3	informal
as a matter	534.1	3	formal
can we do	512.3	3	informal
could we do	489.2	3	informal
how about we	456.3	3	informal
what if we	423.1	3	informal
let me know	398.2	3	informal
why don't we	376.4	3	informal
would you like	354.1	3	formal
should we do	332.5	3	informal
i understand that	312.3	3	neutral
i see your	298.4	3	neutral
you're right that	276.1	3	informal
that's a fair	254.3	3	informal
i appreciate that	234.5	3	formal
is there a	212.3	3	neutral
i realize this	189.4	3	neutral
look i understand	178.2	3	informal
what you're saying	165.3	3	informal
given that we	154.1	3	formal
in reality we	143.2	3	formal
to be clear	132.4	3	formal
let me clarify	121.3	3	formal
i didn't mean	110.2	3	informal
what i mean	98.3	3	informal
i'm not saying	87.4	3	informal
on the other	76.2	3	neutral
one hand on	65.3	3	neutral
the other hand	54.1	3	neutral
so what we	43.2	3	informal
i know you've	32.1	3	informal
that puts you	21.4	3	informal
it looks like	189.6	3	informal
seems like we	178.4	3	informal
from what i	167.2	3	informal
i'm fairly confident	156.1	3	neutral
which is why	145.3	3	neutral
better than that	134.2	3	informal
need to do	123.4	3	neutral
have to be	112.3	3	neutral
going to be	101.2	3	informal
kind of like	98.5	3	informal
really at least	87.3	3	informal
to some extent	76.4	3	formal
which means we	65.2	3	neutral
over the course	54.1	3	formal
the most important	43.2	3	formal
there are several	32.1	3	formal
in the first	21.3	3	formal
and in fact	198.4	3	formal
so that makes	187.2	3	informal
if we're being	176.1	3	informal
for the most	165.3	3	formal
to put it	154.2	3	informal
put it this	143.1	3	informal
make it work	132.3	3	informal
get the ball	121.2	3	informal
ball rolling on	110.1	3	informal
