phrase	frequency_per_million	word_count	register
to be	12456.7	2	neutral
i think	8942.3	2	informal
kind of	892.4	2	informal
in a	7234.1	2	neutral
what do	2341.5	2	neutral
is it	3456.2	2	neutral
i mean	5234.1	2	informal
you know	4567.8	2	informal
i said	3845.2	2	informal
have you	3678.9	2	neutral
do you	6789.1	2	neutral
would you	4234.5	2	formal
could you	5123.4	2	formal
thank you	8234.5	2	formal
see your	1234.5	2	neutral
sort of	3456.7	2	informal
i suppose	2341.2	2	informal
so what	1234.8	2	informal
what about	2456.7	2	neutral
how about	3456.7	2	neutral
let me	4567.8	2	neutral
no wait	1456.7	2	informal
i'm sorry	3456.7	2	apologetic
sorry i	2345.6	2	apologetic
you're right	2345.6	2	neutral
i understand	2456.7	2	formal
i hear	1567.8	2	neutral
what if	2678.9	2	neutral
what's the	3456.7	2	neutral
is the	4567.8	2	neutral
