phrase	frequency_per_million	word_count	register
to be	12456.7	2	neutral
i think	8942.3	2	informal
kind of	892.4	2	informal
in a	7234.1	2	neutral
you know	6523.4	2	informal
i don't	5891.2	2	informal
i see	5234.1	2	neutral
to be honest	4872.3	2	informal
i mean	4521.3	2	informal
the thing	4234.5	2	informal
sort of	3892.1	2	informal
to do	3812.3	2	neutral
in the	3712.4	2	neutral
i want	3654.2	2	informal
is there	3512.3	2	neutral
i get	3421.5	2	informal
what you	3234.2	2	informal
but i	3152.1	2	informal
i know	3045.3	2	informal
to have	2956.2	2	neutral
let me	2834.5	2	neutral
i think	2756.3	2	informal
for you	2645.3	2	neutral
i need	2534.2	2	informal
as a	2423.1	2	neutral
on a	2312.4	2	neutral
at the	2201.3	2	neutral
i was	2098.2	2	informal
by the	1987.1	2	neutral
with you	1876.4	2	informal
we're going	1765.3	2	informal
i understand	1654.2	2	neutral
what about	1543.1	2	informal
looking at	1432.2	2	neutral
to get	1321.3	2	neutral
from the	1210.4	2	neutral
can we	1156.2	2	informal
do you	1098.3	2	informal
have you	1045.2	2	informal
could we	987.4	2	informal
would you	934.5	2	formal
should we	876.3	2	neutral
why not	823.1	2	informal
what if	798.4	2	informal
how about	765.2	2	informal
let's talk	734.1	2	informal
makes sense	678.3	2	informal
fair point	612.4	2	informal
i appreciate	567.2	2	formal
that's true	534.1	2	informal
i realize	489.2	2	formal
you're right	456.3	2	informal
that's fair	423.1	2	informal
honestly think	398.2	2	informal
as well	376.4	2	formal
quite a	354.1	2	informal
more than	332.5	2	neutral
at least	312.3	2	neutral
out of	298.4	2	neutral
rather than	276.1	2	formal
in fact	254.3	2	formal
on top	234.5	2	informal
in reality	212.3	2	formal
to some	189.4	2	neutral
one hand	178.2	2	neutral
other hand	165.3	2	neutral
given that	154.1	2	formal
however we	143.2	2	formal
as well	132.4	2	formal
the flip	121.3	2	informal
to clarify	110.2	2	formal
let's try	105.1	2	informal
